scholarships_title,organization,summary,fund_type,scholarships_link,find_supervisor_link,country
Graduate Research Scholarships,University of Canberra,"The University of Canberra offers a number of University Research Scholarships to enable suitably qualified candidates to undertake full-time study towards a Doctor of Philosophy. Selection is based on academic merit, strategic alignment, research proposal and research experience.",University Scholarships,https://www.canberra.edu.au/research/graduate-research/university-research-scholarships,https://www.canberra.edu.au/future-students/study-at-uc/research-students/finding-a-supervisor,Australia
Graduate Research Scholarships,University of New England,"There are a number of Scholarships available to students who are studying a Higher Degree Research (HDR) at the University of New England. All Scholarship Applicants must currently be enrolled in a Higher Degree Research course, or have submitted a Candidature Application for a HDR Course, unless otherwise stated.",University Scholarships,https://www.une.edu.au/research/graduate-research-school/scholarships,https://www.une.edu.au/find-an-expert,Australia
Graduate Research Scholarships,University of Notre Dame Australia,"Notre Dame provides diverse financial support initiatives for Higher Degree by Research (HDR) students, funded by internal and external sources in Australia.",University Scholarships,https://www.notredame.edu.au/study/fees-costs-and-scholarships/scholarships/sydney/postgraduate-research-scholarships,,Australia
International student scholarships,University of South Australia,"At UniSA, scholarships and other financial support are associated to the research project you are applying for, and they are awarded on a competitive basis. Please ensure you have read all the information about our application process and how to choose your research project before reading about scholarships",University Scholarships,https://www.unisa.edu.au/research/degrees/scholarships/,https://askgraduateresearch.unisa.edu.au/app/answers/detail/a_id/1468/~/how-do-i-find-a-potential-supervisor%3F,Australia
Graduate Research Scholarships,University of Tasmania,"University of Tasmania  supports higher degree research candidates with a range of scholarship opportunities. Research scholarships are released periodically, and each type of scholarship has specific application dates, eligibility criteria and conditions.",University Scholarships,https://www.utas.edu.au/research/degrees/scholarships-and-fees,https://discover.utas.edu.au/search?by=text&type=user,Australia
Graduate Research Scholarships,University of Technology Sydney,"University of Technology Sydney  supports higher degree research candidates with a range of scholarship opportunities. Research scholarships are released periodically, and each type of scholarship has specific application dates, eligibility criteria and conditions.",University Scholarships,https://www.uts.edu.au/about/faculty-engineering-and-information-technology/research-faculty-engineering-and-it/research-degrees-and-scholarships/research-scholarships,"https://www.uts.edu.au/research-and-teaching/graduate-research/future-research-students/apply-research-degree/find-supervisor-or-project#:~:text=Use%20the%20Find%20a%20supervisor,the%20left%20hand%20side%20bar.",Australia
Higher Degree Research Scholarships,University of the Sunshine Coast,"UniSC has a range of scholarship opportunities available. Scholarships can cover living stipend, tuition fees or top up scholarships. To apply for a scholarship, you must be currently enrolled in an HDR program, or have applied for admission to a HDR program, at UniSC.",University Scholarships,https://www.usc.edu.au/research/research-students/hdr-scholarships,https://www.usc.edu.au/research/research-students/how-to-apply/research-supervisor-search,Australia
Graduate Research Scholarships,University of Wollongong,"Scholarships and awards are available for eligible HDR candidates at UOW. These scholarships include annual stipends, living allowances and tuition fee costs.",University Scholarships,https://www.uow.edu.au/research-and-innovation/graduate-research/scholarships/#/Rotary%20PhD%20Scholarships,https://www.uow.edu.au/research-and-innovation/graduate-research/future-students/find-a-supervisor/,Australia
Graduate Research Scholarships,The University of sydney ,"The University of sydney  is committed to fostering the best and brightest researchers, and have a wide range of scholarship options to support domestic research students.",University Scholarships,https://www.sydney.edu.au/scholarships/domestic/postgraduate-research.html,https://www.sydney.edu.au/research/research-supervisor-connect.html,Australia
Graduate Research Scholarships,Victoria University,Victoria University's world-leading researchers are available to supervise successful graduate research scholarship applicants. We will help you become a research-qualified professional.,University Scholarships,https://www.vu.edu.au/study-at-vu/fees-scholarships/scholarships/graduate-research-scholarships,https://www.vu.edu.au/researchers/candidature/supervision,Australia
Graduate Research Scholarships,Murdoch University,"Murdoch University supports higher degree research candidates with a range of scholarship opportunities. Research scholarships are released periodically, and each type of scholarship has specific application dates, eligibility criteria and conditions.",University Scholarships,https://www.murdoch.edu.au/study/scholarships/scholarship-finder,"https://www.murdoch.edu.au/study/study-levels/research/your-research-project/finding-a-supervisor#:~:text=Search%20for%20a%20supervisor,find%20a%20supervisor%20at%20Murdoch.&text=You%20can%20search%20for%20an,useful%20as%20a%20starting%20point.",Australia
Postgraduate Research Scholarships,Australian Catholic University,Graduate research scholarships can support you while you study and provide access to the tools and resources you need to pursue your research. Here you can explore your options and find the right one for you.,University Scholarships,https://www.acu.edu.au/research-and-enterprise/higher-degree-research-hub/scholarships,https://www.acu.edu.au/research-and-enterprise/higher-degree-research-hub/supervisors,Australia
Postgraduate Research Scholarships,Australian National University,"Australian National University supports higher degree research candidates with a range of scholarship opportunities. Research scholarships are released periodically, and each type of scholarship has specific application dates, eligibility criteria and conditions.",University Scholarships,https://study.anu.edu.au/scholarships/find-scholarship?field_cs_finsup_student_types_target_id=All&field_cs_student_levels_target_id=All&field_cs_finsup_selection_target_id=All&field_cs_status_value=All&field_cs_colleges_target_id=All&combine=research,https://students.science.anu.edu.au/research-opportunities/finding-supervisor,Australia
Postgraduate Research Scholarships,Bond University,Bond University values its higher degree research student cohort and provides a substantial level of direct financial support to many students. Bond University allocates funds to support the financial costs of fee offset (waiver) and living stipends.,University Scholarships,https://bond.edu.au/scholarship/bond-university-postgraduate-research-scholarship,https://research.bond.edu.au/en/persons/,Australia
Graduate Research Scholarships,Central Queensland University,"Central Queensland University supports higher degree research candidates with a range of scholarship opportunities. Research scholarships are released periodically, and each type of scholarship has specific application dates, eligibility criteria and conditions.",University Scholarships,https://www.cqu.edu.au/research/scholarships?p=cam&gad_source=1&gclid=Cj0KCQiAn-2tBhDVARIsAGmStVntwo4v1l5C3Rn3kvW97ileiglz6Z7EccixGYlUisyuzfP0IIOWZOwaAgYYEALw_wcB&gclsrc=aw.ds,https://www.cqu.edu.au/research/research-higher-degrees,Australia
Higher Degree by Research,Charles Darwin University,CDU is committed to fostering the best and brightest researchers. We have a range of scholarship options to support our future research students. Research scholarships for international and domestic applicants are awarded annually on a competitive basis.,University Scholarships,https://www.cdu.edu.au/research-and-innovation/higher-degree-research/scholarships,https://www.cdu.edu.au/research-and-innovation/higher-degree-research/find-supervisor,Australia
Graduate Research Scholarships,Charles Sturt University,"Charles Sturt University  offer prestigious scholarships for both domestic and international research candidates. In most cases, these scholarships are available to Australian or New Zealand citizens or Australian permanent residents",University Scholarships,https://research.csu.edu.au/study-with-us/scholarships,https://research.csu.edu.au/study-with-us/how-to-apply,Australia
Postgraduate Research Scholarships,Edith Cowan University,"Edith Cowan University supports higher degree research candidates with a range of scholarship opportunities. Research scholarships are released periodically, and each type of scholarship has specific application dates, eligibility criteria and conditions.",University Scholarships,https://www.ecu.edu.au/scholarships/details/search?query=&sort=metasortenddate&collection=ecu-web-scholarships&form=simple-facet&num_ranks=200&f.Course+level|sect=Postgraduate&f.Residency|res=International,,Australia
Graduate Research Scholarships,Federation University Australia,Federation University offers a range of Higher Degree by Research scholarship options to current and prospective Masters by research or PhD candidates. You’ll be supported with a tax-free scholarship and a tuition fee scholarship to cover the cost of fees. You’ll also be provided with a laptop and financial support for your project (subject to conditions).,University Scholarships,https://federation.edu.au/research/graduate-research-school/hdr-scholarships,https://federation.edu.au/research/find-an-expert,Australia
Higher Degree by Research,Griffith University,"Applications for Griffith scholarships, as well as Australian Government Research Training scholarships, go through a competitive and merit-based selection process. Scholarships are awarded throughout the year and you can apply at any time.",University Scholarships,https://www.griffith.edu.au/research-study/scholarships,https://experts.griffith.edu.au/,Australia
Higher Degree by Research (HDR) Scholarships,James Cook University,"JCU Higher Degree by Research (HDR) Scholarships for HDR candidates (Master of Philosophy, Doctor of Philosophy) are awarded annually on a competitive basis to the most outstanding applicants. JCU offers a range of HDR scholarships for domestic and international applicants.  Each of these scholarships is available to help support domestic and international candidates with living costs while dedicating themselves to a research degree at JCU.",University Scholarships,https://www.jcu.edu.au/graduate-research-school/hdr-candidates/postgraduate-research-scholarships,https://research.jcu.edu.au/portfolio/,Australia
Graduate Research Scholarships,La Trobe University,"Scholarships are available for PhD, Professional Doctorate and Masters by research degrees. Successful scholarship applicants will receive a generous stipend, tuition fee scholarship and allowances.",University Scholarships,https://www.latrobe.edu.au/research/graduate-research/fees-and-scholarships/scholarships,https://scholars.latrobe.edu.au/search,Australia
PROJECT-BASED GRADUATE RESEARCH SCHOLARSHIPS,La Trobe University,"We offer a range of doctoral scholarships available for specific research projects. Successful scholarship applicants will receive a generous stipend, tuition fee scholarship and allowances",Project Scholarships,https://www.latrobe.edu.au/research/graduate-research/fees-and-scholarships/scholarships/project,https://scholars.latrobe.edu.au/search,Australia
Monash Graduate Scholarship,Monash University,Monash Graduate Scholarships (MGS) are provided by Monash University to support domestic and international students undertaking Research Doctorate and Research Masters degrees. A MGS is available to help support students with living costs whilst studying at Monash.,University Scholarships,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/monash-graduate-scholarship-mgs#scholarship-details,https://www.monash.edu/msdi/study/graduate-research-program/supervisors,Australia
Graduate Research Scholarships,RMIT University,"RMIT University supports higher degree research candidates with a range of scholarship opportunities. Research scholarships are released periodically, and each type of scholarship has specific application dates, eligibility criteria and conditions.",University Scholarships,https://www.rmit.edu.au/students/careers-opportunities/scholarships/research,https://www.rmit.edu.au/about/schools-colleges/graduate-school-of-business-and-law/research/phds/research-supervisors,Australia
Higher Degrees Scholarships,Southern Cross University,"Scholarships offered through the Graduate School at Southern Cross University are underpinned by three key factors. Graduate School scholarships form part of Southern Cross University’s overall suite of scholarships  – including many postgraduate scholarships  – offered thanks to our generous private donors, government and industry groups, other stakeholders, and the University itself.",University Scholarships,"https://www.scu.edu.au/graduate-school/scholarships/#:~:text=The%20scholarship%20is%20for%20three,addition%20to%20the%20scholarship%20stipend.",https://www.scu.edu.au/graduate-school/find-a-supervisor/,Australia
Graduate Research Scholarships,Swinburne University of Technology,Swinburne research scholarships are awarded to candidates of exceptional research potential undertaking doctoral studies.  The awards are provided to assist with general living costs.  Tuition fees for up to four years are also covered. Research scholarships are available by application to both future and current students enrolled in or applying for a Doctor of Philosophy (PhD) or Professional Doctorate course at Swinburne.,University Scholarships,https://www.swinburne.edu.au/study/options/scholarships/510/swinburne-research-scholarships/,https://search.swinburne.edu.au/s/search.html?collection=swinburne-researcher-web,Australia
Postgraduate Research Scholarships,The University of Adelaide,"There are a range of government and University funded scholarships available to support you during your Higher Degree Research (HDR) candidature. These scholarships provide support with a range of expenses associated with undertaking HDR research including living expenses, tuition waivers, and ancillary costs associated with your research. ",University Scholarships,https://www.adelaide.edu.au/graduate-research/scholarships#faq,https://researchers.adelaide.edu.au/?name=&supervisor%5B1%5D=1&keywords=&department=,Australia
Graduate Research Scholarships,The University of Newcastle,"The main type of financial support available to graduate researchers is in the form of scholarships. We offer a range of scholarships to help you meet your living costs while you study. Every scholarship has its own set of terms and conditions. It’s important that you read through the details and eligibility criteria before you start an application.",University Scholarships,https://www.newcastle.edu.au/study/research/future-students/scholarships,https://www.newcastle.edu.au/study/research/future-students/find-a-supervisor,Australia
Postgraduate Research Scholarships,The University of Queensland,"The University of Queensland supports higher degree research candidates with a range of scholarship opportunities. Research scholarships are released periodically, and each type of scholarship has specific application dates, eligibility criteria and conditions.",University Scholarships,https://scholarships.uq.edu.au/phd-mphil-students,https://researchers.uq.edu.au/fields-of-research,Australia
Graduate Research Scholarships,University of Southern Queensland,"The University of Southern Queensland (UniSQ) is offering a number of International PhD Stipend Scholarships for international students studying, or commencing the Doctor of Philosophy (PhD) in 2024. Applications in all areas of research are welcome",University Scholarships,https://www.unisq.edu.au/scholarships/international-phd-stipend-scholarship,https://expertfinder.unisq.edu.au/,Australia
Australia Awards Scholarships,Australian Government,The Australia Awards Scholarships (AAS) program is highly prestigious and competitive. It offers government-funded grants to students from a selection of developing countries who can show leadership qualities and a drive for change. The program is designed to equip students with the skills and knowledge needed to return home and contribute to their nations’ development upon graduation.,Government Scholarships,https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships,,Australia
Postgraduate programs and scholarships,CSIRO,"CSIRO's Industry PhD (iPhD) program brings together an industry partner, a university and Australia’s leading science agency, CSIRO, to co-develop a four-year industry-focused PhD project.",Industry-sponsored Scholarships,https://www.csiro.au/en/careers/Scholarships-student-opportunities/Postgraduate-programs-and-Scholarships,,Australia
Australian Fulbright Scholarship,Fulbright Australia,"The Australian-American Fulbright Commission offers scholarships to Australian citizens across all career stages. Awardees take part in an academic and cultural exchange, pursuing research or study at a U.S. institution, experiencing life abroad and bringing back their knowledge and experience to share with their communities in Australia",Government Scholarships,https://www.fulbright.org.au/applicants/australian-applicants/,,Australia
U. S Fulbright Scholarship,Fulbright U.S.,"The Australian-American Fulbright Commission offers Scholarships to American citizens across all career stages. Awardees take part in a bi-lateral academic and cultural exchange, pursuing research or study at an Australian institution, experiencing life in Australia, and bringing back their knowledge and experience to share with their communities in the U.S.",Government Scholarships,https://www.fulbright.org.au/applicants/australian-applicants/,,United States
General Health PhD Scholarships,Australian Rotary Health Mental Health Research,"The General Health 'Funding Partner' PhD Scholarship program was introduced in 2004 to enable Rotarians the opportunity to support research in their chosen health area.    It involves a 3.5-year commitment to a donation, from the Rotary partner.   All scholarships also include a contribution from the university at which the successful application conducts their research.  ",Industry-sponsored Scholarships,https://australianrotaryhealth.org.au/category/current-funding/general-health-phd-scholarships/,,Australia
Heart Foundation Research Funding,Heart Foundation,"The Heart Foundation is proud to be Australia’s largest non-government funder of heart-related research. Our research funding programs support and develop excellence in heart research, from bench to bedside and beyond. We provide opportunities for individual researchers and projects that support our goal to prevent heart disease, improve heart health and enhance the quality of life of all Australians.",Industry-sponsored Scholarships,https://www.heartfoundation.org.au/bundles/our-research/research/research-funding-available,,Australia
Rozetta PhD Scholarship ,Rozetta Institute,A Rozetta Institute Industrial PhD Scholarship puts you at the heart of a unique research ecosystem where you will be encouraged to apply fresh thinking and new ideas to solve real-world industry problems and make a tangible difference.,Industry-sponsored Scholarships,https://rozetta.com.au/industry-phd-scholarship-program/,,Australia
Cambridge Australia Scholarships,Cambridge Australia Scholarships Ltd,"These scholarships are available to Masters and PhD applicants from Australia, in all subjects Offered in partnership with Cambridge Australia Scholarships.",Industry-sponsored Scholarships,https://www.cambridgetrust.org/scholarships/cambridge-australia-scholarship,,Australia
Destination Australia,Australian Government,The Destination Australia Program (DAP) is an Australian Government program that funds eligible tertiary education providers to offer scholarships to domestic and international students to study in regional Australia. Destination Australia scholarships are available to students studying courses ranging from a Certificate IV through to a doctorate (such as a PhD) for up to four years in regional campus locations across Australia. This means any location outside of major cities in Australia.,Government Scholarships,https://www.education.gov.au/destination-australia,,Australia
Australian Government Research Training Program (RTP),Australian Government,The Australian Government Research Training Program (RTP) supports domestic and international students undertaking research doctorate and research masters level degrees. Find out more about the Research Training Program at the Department of Education website. Applications for these scholarships are made directly to a participating university.,Government Scholarships,https://www.education.gov.au/research-block-grants/research-training-program/research-training-program-frequently-asked-questions-students,,Australia
The Northcote Postgraduate Scholarship,The Britain-Australia Society,"The awards are to enable students normally resident in the UK to undertake a higher degree at an Australian university for up to three years. The Northcote (Postgraduate) Scholarships are awarded by the Northcote Trust, and administered on the Trust's behalf by the Britain-Australia Society.",Industry-sponsored Scholarships,https://www.britain-australia.org.uk/,,Australia
The UK Government’s Turning Scheme,UK Government,The UK Government’s Turning Scheme provides funding for learning opportunities at a selection of education providers.,Government Scholarships,https://www.turing-scheme.org.uk/,,Australia
US Financial Aid,U.S  Government,"US students can often bring their US Financial Aid with them to their education institution in Australia, including for one or two semesters’ study abroad.",Government Scholarships,https://www2.ed.gov/fund/grants-apply.html?src=pn,,Australia
